description,location,latitude,longitude,reference_code,violation_type,recording_date,source,keywords,youtube_id,landmarks,weather_in_media,languages,clothes_and_uniforms,sex,weapons_used,edited,file_size,device_used_to_record,media_content_type,chain_of_custody_notes,finding_aids,international_instrument,urls_and_news,related_incidents,page_title,video_url
Russian airstrikes commit a massacre by thermobaric weapons in Al-Atarib - Aleppo, ALEPPO : Al atarib, , , RU_041f1,"
            Use of illegal weapons"," Aug. 2, 2016, 11:52 a.m.", ShaamNetwork S.N.N, ,https://www.youtube.com/watch?v=nslXfluXKtM, , , None, , None,"
         
              Incendiary Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",041f1f547520c4c78d15d4b3cd7c555a5fce7ee339b9a662cd9a2216,https://media.syrianarchive.orgfiles/spoon/sV_20160802_nslXfluXKtM.mp4
A girl suffers under the siege in Aleppo , ALEPPO, , , AL_75660,"
            Sieges and economic, social and cultural rights"," Aug. 2, 2016, 11:27 a.m.", مركز حلب الإعلامي AMC, ,https://www.youtube.com/watch?v=iypf8nj71Jg, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",75660c6f6937b34ad5e85e26952290ece6d6f72fd49937211efe48dc,https://media.syrianarchive.org/files/spoon/sV_20160802_iypf8nj71Jg.mp4
 Syrian regime Air Force targets a local market by thermobaric weapons in Al-Atarib - Aleppo, ALEPPO : Al atarib, , , AL_88bf0,"
            Use of illegal weapons"," Aug. 2, 2016, 11:08 a.m.", مركز عندان الإعلامي, ,https://www.youtube.com/watch?v=fOobLlyM85A, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",88bf066448c935e97083bf1c39833202c5a609da192221ce2660002d,https://media.syrianarchive.org/files/spoon/sV_20160802_fOobLlyM85A.mp4
Russian airstrike targets a place where a Russian helicopter had fallen, ALEPPO, , , RU_cb988,"
            Unlawful attacks"," Aug. 2, 2016, 12:01 a.m.", قناة الجسر الفضائية, ,https://www.youtube.com/watch?v=5hfu_OxOcRc, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",cb98885a149e8f348b9f6ba536bd416080b74b2a4cae46e5bb634513,https://media.syrianarchive.org/files/spoon/sV_20160801_5hfu_OxOcRc.mp4
targeting the hospitals in Aleppo by Syrian regime's and Russian's airstrikes, ALEPPO, , , HO_e19ae,"
            Specifically protected persons and objects"," Aug. 1, 2016, 6:50 p.m.", Halab Today TV | قناة حلب اليوم, ,https://www.youtube.com/watch?v=Oh3GqUtL7ao, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",e19ae7464ee6ef96553a3bc71e05358a203a5069e8957878a35bfdc0,https://media.syrianarchive.org/files/spoon/sV_20160801_Oh3GqUtL7ao.mp4
targeting the hospitals in Aleppo by Syrian regime's and Russian's airstrikes, ALEPPO, , , HO_8ad4f,"
            Specifically protected persons and objects"," Aug. 1, 2016, 3:12 p.m.", Halab Today TV | قناة حلب اليوم, ,https://www.youtube.com/watch?v=JLfmNJ-MCHU, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",8ad4f4679b07a50ef54bfa747e0bd3df3ee323050a3b4f843a9cabe1,https://media.syrianarchive.org/files/spoon/sV_20160801_JLfmNJ-MCHU.mp4
A photographer was wounded by Syrian regime's  projectile, ALEPPO, , , AL_b7117,"
            Specifically protected persons and objects"," Aug. 1, 2016, 1:52 p.m.", Syrian Network for Human Rights, ,https://www.youtube.com/watch?v=9HqhU8WHUL4, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",b71170bef6b3167294a78ca80656475e8ba2a1b2655cf52892fecd0a,https://media.syrianarchive.org/files/spoon/sV_20160801_9HqhU8WHUL4.mp4
"Two civilians and one child were killed, 10 were wounded in Bab-Nayrab- Aleppo", ALEPPO : Bab Nayrab, , , AL_4d90e,"
            Unlawful attacks"," Aug. 1, 2016, 10:26 a.m.", شبكة حلب نيوز - Halab News Network, ,https://www.youtube.com/watch?v=hrcMO5xyh4o, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",4d90eb88f8869cee7f93667128c0ccf0424a44d207faad03e11987c7,https://media.syrianarchive.org/files/spoon/sV_20160801_hrcMO5xyh4o.mp4
Russian airstrikes target Aleppo's local council by thermobaric weapon, ALEPPO, , , RU_46bf4,"
            Unlawful attacks"," Aug. 1, 2016, 9:52 a.m.", شبكة حلب نيوز - Halab News Network, ,https://www.youtube.com/watch?v=apynXimdQLQ, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",46bf4b6a0fb1403d7179188cc8c1f812f149761285d15b929e62600c,https://media.syrianarchive.org/files/spoon/sV_20160801_apynXimdQLQ.mp4
Heavy bombing on Al-Rashidin- Aleppo, ALEPPO : Rashiddin, , , AL_6cb5c,"
            Unlawful attacks"," Aug. 1, 2016, 8:09 a.m.", Step News Agency, ,https://www.youtube.com/watch?v=hNEQimXPEgM, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",6cb5c7c0b84f003b7100627c23d41a21a10fb8e0bcfdff7166000343,https://media.syrianarchive.org/files/spoon/sV_20160801_hNEQimXPEgM.mp4
