Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
The destruction in KafrZita Hospital after being  targeted with alleged Russian attacks,HAMA,KafrZita,NA,NA,HO_dda72,Specifically protected persons and objects,2017-04-30,21.0,38.0,Syrian Network for Human Rights,https://www.youtube.com/watch?v=OeCKd5NLm8g,NA,NA,dda72a4a87a3e126db9339703d141b6be5bc7973bf4bde5781b1cad4,https://media.syrianarchive.org/files/spoon2/sV_20170430_OeCKd5NLm8g.mp4,64496
Russian warplanes targeting the Civil Defense Center in Kufrzita and caused 8 martyrs,HAMA,KafrZita,NA,NA,CD_5a8ee,Specifically protected persons and objects,2017-04-30,16.0,39.0,Orient News,https://www.youtube.com/watch?v=ieqGOIhyq78,NA,NA,5a8ee13819166f1d960b8526242123ab7fbc3e0cd9ed0243ddc9c443,https://media.syrianarchive.org/files/spoon2/sV_20170430_ieqGOIhyq78.mp4,64598
Targeting the Civil Defense Center in the town of Kafr Zeita in the countryside of Hama by airstrikes,HAMA,KafrZita,NA,NA,CD_be9b1,Specifically protected persons and objects,2017-04-30,6.0,38.0,وكالة ثقة,https://www.youtube.com/watch?v=rlddY1PKC7g,NA,NA,be9b1bd8d82e100075713a0d9aecc4ae281e1d55f2b655e365a98411,https://media.syrianarchive.org/files/spoon2/sV_20170429_rlddY1PKC7g.mp4,64520
"airstrikes  targeting Civil Defense Center in Kafr Zeita town, Hama countryside.",HAMA,KafrZita,NA,NA,CD_683b5,Specifically protected persons and objects,2017-04-29,19.0,23.0,هادي العبدالله Hadi Alabdallah,https://www.youtube.com/watch?v=61HnswYygLo,NA,NA,683b55e7e8d5432d748603b20c6318daf5ca514a1acb4bb7976524a7,https://media.syrianarchive.org/files/spoon2/sV_20170429_61HnswYygLo.mp4,64340
Targeting Sarmin city in Idlib countryside with missile carrying cluster bombs.,IDLIB,Sarmin nahiyah,NA,NA,CL_817a0,Use of illegal weapons,2017-04-28,18.0,2.0,وكالة ثقة,https://www.youtube.com/watch?v=xDTt9gJix3k,Cluster Munition,NA,817a0a26d201ab7f879e1574642ab99e6a966ce2f117d6fcbe0568c9,https://media.syrianarchive.org/files/spoon2/sV_20170428_xDTt9gJix3k.mp4,64246
"Airstrikes against children and obstetric hospital in Kafartakharim, Idlib countryside.",IDLIB,Kafar Takharim,NA,NA,HO_6fb30,Specifically protected persons and objects,2017-04-28,12.0,58.0,Baladi-News Network,https://www.youtube.com/watch?v=H4QggxgbGJc,NA,NA,6fb302202ee4db2bc82ee9110d2bcce8417d714321ca6fc7a9cf48ab,https://media.syrianarchive.org/files/spoon2/sV_20170427_H4QggxgbGJc.mp4,64232
Al Hula bakery is out of order due to airstrikes,HOMS,Houla,NA,NA,HO_ce67e,Specifically protected persons and objects,2017-04-27,19.0,23.0,الدرر الشامية,https://www.youtube.com/watch?v=CXexO9EDgeE,NA,NA,ce67eaaf0b284101e75fcafe285fac717c9c74818664175b260fc579,https://media.syrianarchive.org/files/spoon2/sV_20170427_CXexO9EDgeE.mp4,64060
Civil Defense team is rescuing injured as a result of targeting the university hospital,IDLIB,Deir Sharqi,NA,NA,HO_d0389,Specifically protected persons and objects,2017-04-27,15.0,4.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=z0o2LbPzFOA,NA,NA,d0389c5b440fd4187d448db877417b28638c16108bf124ef86e3e975,https://media.syrianarchive.org/files/spoon2/sV_20170427_z0o2LbPzFOA.mp4,64092
The university hospital is out of service as a result of airstrikes,IDLIB,Deir Sharqi,NA,NA,HO_5a190,Specifically protected persons and objects,2017-04-27,13.0,57.0,Orient News,https://www.youtube.com/watch?v=CTkZ2bciD38,NA,NA,5a1900057ade21ea2bdde566205acb39e2842b9ec061c6eb0377cbad,https://media.syrianarchive.org/files/spoon2/sV_20170427_CTkZ2bciD38.mp4,64197
Russian airstrikes targets Shamna Medical point,IDLIB,Mar Zita,NA,NA,HO_90c3f,Specifically protected persons and objects,2017-04-27,13.0,57.0,Orient News,https://www.youtube.com/watch?v=6m8TKYPB48w,NA,NA,90c3ffc48f4e09c0e61f26d5576fb34a4035d5b88679fe60f1b3aa48,https://media.syrianarchive.org/files/spoon2/sV_20170427_6m8TKYPB48w.mp4,64199
Airstrikes that targeted a medical point,IDLIB,Mar Zita,NA,NA,HO_36478,Specifically protected persons and objects,2017-04-27,10.0,52.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=CueL4_ku0ao,NA,NA,364783afd40a68bf2ec83161368dd5157e7101b39573e617498cbfe1,https://media.syrianarchive.org/files/spoon2/sV_20170427_CueL4_ku0ao.mp4,64156
Destruction in the university hospital in Deir Al-Sharqi,IDLIB,Deir Sharqi,NA,NA,HO_b41db,Specifically protected persons and objects,2017-04-27,10.0,33.0,Step News Agency,https://www.youtube.com/watch?v=g55RZibwxVY,NA,NA,b41db164aa9f32ff62069be54ae45a5456ace3c8459f9d4923f60729,https://media.syrianarchive.org/files/spoon2/sV_20170427_g55RZibwxVY.mp4,64138
Alleged Russian airstrikes that targeted Shamel medical point,IDLIB,Mar Zita,NA,NA,HO_6f977,Specifically protected persons and objects,2017-04-27,10.0,31.0,ShaamNetwork S.N.N,https://www.youtube.com/watch?v=yLFU8rtljmY,NA,NA,6f977eace8164b2c16be6ead6367639717debaa2bab7de10bc85ba00,https://media.syrianarchive.org/files/spoon2/sV_20170427_yLFU8rtljmY.mp4,64078
The destruction of Deir Al-Sharqy hospital as a result of alleged Russian airstrikes,IDLIB,Deir Sharqi,NA,NA,HO_46c30,Specifically protected persons and objects,2017-04-27,10.0,6.0,Edlib Media Center,https://www.youtube.com/watch?v=pPNPJdFVEwI,NA,NA,46c3003ff319b0ac5aa90747ddebdf072e36a3c8f144bba94ff0419a,https://media.syrianarchive.org/files/spoon2/sV_20170427_pPNPJdFVEwI.mp4,64104
Targeting Deir El-Sharqy hospital in Idlib countryside by the airstrikes.,IDLIB,Deir Sharqi,NA,NA,HO_907b9,Specifically protected persons and objects,2017-04-27,8.0,54.0,الدرر الشامية,https://www.youtube.com/watch?v=9bEE8t-r_8w,NA,NA,907b9710e43a52e3728ca9266c341a2e36a78fd4e44cc05fe80fc380,https://media.syrianarchive.org/files/spoon2/sV_20170427_9bEE8t-r_8w.mp4,64062
Deir Al-Sharqi Hospital became out of service as a result of alleged Russian airstrikes,IDLIB,Deir Sharqi,NA,NA,HO_18c4d,Specifically protected persons and objects,2017-04-27,8.0,41.0,Qasioun News Agency,https://www.youtube.com/watch?v=XvDv5CwTPr8,NA,NA,18c4d4852fd6110f07e3efdb08b4efa65ee8a561bd059268e1c4415b,https://media.syrianarchive.org/files/spoon2/sV_20170427_XvDv5CwTPr8.mp4,64176
Civil defense team is rescuing injured as a result of attacking the university hospital,IDLIB,Deir Sharqi,NA,NA,HO_82e43,Specifically protected persons and objects,2017-04-27,8.0,31.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=qjntI-Rhsuk,NA,NA,82e432012c8cf34d072ae63285d2af15b707d4f3b9e0c606128f66a2,https://media.syrianarchive.org/files/spoon2/sV_20170427_qjntI-Rhsuk.mp4,64090
Airstrikes against the medical point in Mar zita town,IDLIB,Mar Zita,NA,NA,HO_2a9bc,Specifically protected persons and objects,2017-04-27,8.0,22.0,هادي العبدالله Hadi Alabdallah,https://www.youtube.com/watch?v=gUNQf08JUs4,NA,NA,2a9bc6804b6155bd5e017723c9bd3505b853d201e6a762177861d6c3,https://media.syrianarchive.org/files/spoon2/sV_20170427_gUNQf08JUs4.mp4,64059
Russian warplanes targeting the Shamna medical point in Marzita which resuted of 4 casualties,IDLIB,Mar Zita,NA,NA,HO_4590b,Specifically protected persons and objects,2017-04-27,8.0,20.0,RFS Media Office,https://www.youtube.com/watch?v=DHUmNsgSoh4,NA,NA,4590bcbf4f2233a444b3715ee2161c27fa863fcd82b2e168996eb1a9,https://media.syrianarchive.org/files/spoon2/sV_20170427_DHUmNsgSoh4.mp4,64080
Alleged Russian airstrikes that targeted a Hospital in Deir Al-Sharqi,IDLIB,Deir Sharqi,NA,NA,HO_e41ab,Specifically protected persons and objects,2017-04-27,7.0,48.0,Qasioun News Agency,https://www.youtube.com/watch?v=pkq2gw9yWXg,NA,NA,e41ab37b8e709a053dd2c03e6f82f530e5761147682487112a66457f,https://media.syrianarchive.org/files/spoon2/sV_20170427_pkq2gw9yWXg.mp4,64174
Alleged Russian attacks that targeted a medical point and resulted of injuries and casualties,IDLIB,Mar Zita,NA,NA,HO_24251,Specifically protected persons and objects,2017-04-27,7.0,41.0,معاذ الشامي,https://www.youtube.com/watch?v=Uq80WVGl6kk,NA,NA,24251cfe56f37938dd0088ada0d0f8128c8090cd4d4862ba898cc930,https://media.syrianarchive.org/files/spoon2/sV_20170427_Uq80WVGl6kk.mp4,64054
Destruction in Abdin hospital as a result of airstrikes,IDLIB,Abadeen,NA,NA,HO_49209,Specifically protected persons and objects,2017-04-27,7.0,38.0,Baladi-News Network,https://www.youtube.com/watch?v=PWHQogaz3lQ,NA,NA,492094abdca35114539e366f4574b1f5783902b6726c3b01275f3250,https://media.syrianarchive.org/files/spoon2/sV_20170427_PWHQogaz3lQ.mp4,64095
The university hospital is being targeted by airstrikes which resulted of injured and casualties,IDLIB,Deir Sharqi,NA,NA,HO_2a02d,Specifically protected persons and objects,2017-04-27,7.0,6.0,Orient News,https://www.youtube.com/watch?v=WHE99-Gpg-s,NA,NA,2a02df7a087bfe7fc6321dd84706c0f5b4baedf096936d2c1514e877,https://media.syrianarchive.org/files/spoon2/sV_20170427_WHE99-Gpg-s.mp4,64194
Targeting the university hospital in  Ma'arat al-Nu'man,IDLIB,Deir Sharqi,NA,NA,HO_6bc67,Specifically protected persons and objects,2017-04-27,5.0,35.0,معاذ الشامي,https://www.youtube.com/watch?v=d3qlceFvP7g,NA,NA,6bc678f37f8a335210b846410f8e2c745eb4481399802eaf54e796ab,https://media.syrianarchive.org/files/spoon2/sV_20170426_d3qlceFvP7g.mp4,64053
The warplanes bombard Deir El-Sharqy Hospital in the countryside of Idlib with five air strikes which resulted of it being out of service,IDLIB,Deir Sharqi,NA,NA,HO_e0b05,Specifically protected persons and objects,2017-04-27,5.0,24.0,هادي العبدالله Hadi Alabdallah,https://www.youtube.com/watch?v=iCqA8uzVklg,NA,NA,e0b05d77f78b4519bd0c9cb2b37123ef7555091bd69b826609c7f2bb,https://media.syrianarchive.org/files/spoon2/sV_20170426_iCqA8uzVklg.mp4,64058
Al-Latamna Hospital was attacked by the warplanes,HAMA,latamneh,NA,NA,HO_2835f,Specifically protected persons and objects,2017-04-26,22.0,12.0,ابراهيم الشمالي,https://www.youtube.com/watch?v=_NGDa4O2QDg,NA,NA,2835fa4631b20ce8cdefbaf5fbb2a9587b04aba64c71eeb45e7c119e,https://media.syrianarchive.org/files/spoon2/sV_20170426__NGDa4O2QDg.mp4,63894
Al-Latamneh Hospital was attacked by alleged Russian airstrikes,HAMA,latamneh,NA,NA,HO_2e7ee,Specifically protected persons and objects,2017-04-26,22.0,0.0,ابراهيم الشمالي,https://www.youtube.com/watch?v=6-vdYhfpe_8,NA,NA,2e7ee36c89503463874492ca5b6a10ce88d04beaa6b84695e49cd820,https://media.syrianarchive.org/files/spoon2/sV_20170426_6-vdYhfpe_8.mp4,63891
Al-Latamna Hospital was attacked by airstrikes,HAMA,latamneh,NA,NA,HO_6a989,Specifically protected persons and objects,2017-04-26,22.0,0.0,ابراهيم الشمالي,https://www.youtube.com/watch?v=VoBAOkMYuLw,NA,NA,6a98956fd81eb46ad48204ec7b934043d0c4b68161ebc7ab132f97db,https://media.syrianarchive.org/files/spoon2/sV_20170426_VoBAOkMYuLw.mp4,63893
Al-Latamna Hospital was attacked by alleged Russian airstrikes,HAMA,latamneh,NA,NA,HO_299fd,Specifically protected persons and objects,2017-04-26,22.0,0.0,ابراهيم الشمالي,https://www.youtube.com/watch?v=eUkC0_iqWrI,NA,NA,299fdb1dace8ccd6aa6b97b8cb2c8582af1b2d006b4ffbb71b157e71,https://media.syrianarchive.org/files/spoon2/sV_20170426_eUkC0_iqWrI.mp4,63895
Al-Latamneh Hospital was attacked by airstrikes,HAMA,latamneh,NA,NA,HO_a1ba5,Specifically protected persons and objects,2017-04-26,21.0,57.0,ابراهيم الشمالي,https://www.youtube.com/watch?v=JbmURWyRtRw,NA,NA,a1ba568b3925ff5a04e4ebb2395bc55589822f1670ed7e5e01c796da,https://media.syrianarchive.org/files/spoon2/sV_20170426_JbmURWyRtRw.mp4,63892
Al-Latamna Hospital was attacked by the warplanes,HAMA,latamneh,NA,NA,HO_1f64e,Specifically protected persons and objects,2017-04-26,21.0,54.0,ابراهيم الشمالي,https://www.youtube.com/watch?v=FHcjy2AWp34,NA,NA,1f64ea4615d5f2f5c550d1764e494bcc1131be31ee35ab8bae093791,https://media.syrianarchive.org/files/spoon2/sV_20170426_FHcjy2AWp34.mp4,63896
Al-Latamneh Hospital was attacked by alleged Russian airstrikes,HAMA,latamneh,NA,NA,HO_1f37d,Specifically protected persons and objects,2017-04-26,21.0,51.0,ابراهيم الشمالي,https://www.youtube.com/watch?v=UUvyjw0J4yc,NA,NA,1f37d88aba77c67c1607a9b5b932c5ec42eaba2b28f51e7d6f96c12c,https://media.syrianarchive.org/files/spoon2/sV_20170426_UUvyjw0J4yc.mp4,63889
The recovery of a medical staff from the rubble of the hospital Al-Latamna due to Russian bombing.,HAMA,latamneh,NA,NA,HO_5c386,Specifically protected persons and objects,2017-04-26,19.0,29.0,محمود الحموي,https://www.youtube.com/watch?v=7JJ39y6QKBY,NA,NA,5c3860c1a352f595f59477a53999b10dc16c0ce83213d818079e520c,https://media.syrianarchive.org/files/spoon2/sV_20170426_7JJ39y6QKBY.mp4,63941
The destruction of Kafartakharim hospital in Idlib countryside as a result of airstrikes,IDLIB,Kafar Takharim,NA,NA,HO_53f77,Specifically protected persons and objects,2017-04-26,13.0,17.0,Baladi-News Network,https://www.youtube.com/watch?v=7DuUoUcIt-0,NA,NA,53f77b63b415d9909be99ca4debf861187a75ecffe6f96489d2a86f1,https://media.syrianarchive.org/files/spoon2/sV_20170426_7DuUoUcIt-0.mp4,63919
Two members of the Civil Defense were injured as a result of an airstrike that targeted the team,IDLIB,Jisr ash-Shughur,NA,NA,CD_edb7d,Unlawful attacks,2017-04-26,12.0,28.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=Dne8YRBV6G0,NA,NA,edb7d724b18e2b9531c58f0ed529fea9f4b92c9d7a369d0b3557ad65,https://media.syrianarchive.org/files/spoon2/sV_20170426_Dne8YRBV6G0.mp4,63920
Kafartakharim Hospital in Idlib is out of service due as a result of being attacked,IDLIB,Kafar Takharim,NA,NA,HO_3b69d,Specifically protected persons and objects,2017-04-26,9.0,9.0,Orient News,https://www.youtube.com/watch?v=69rNCv6Shxw,NA,NA,3b69dcad34d4d0e5f8d31d96879ee61e664ca8fa0b0c28b96c488ccb,https://media.syrianarchive.org/files/spoon2/sV_20170426_69rNCv6Shxw.mp4,64015
Alleged Russian airstrikes that targeted a hospital,IDLIB,Kafar Takharim,NA,NA,HO_3f7f3,Specifically protected persons and objects,2017-04-25,14.0,37.0,Qasioun News Agency,https://www.youtube.com/watch?v=1hbnsSLrhD4,NA,NA,3f7f3d4af5bc714cefffb21cda283089a06ecb15e584fd77b753e322,https://media.syrianarchive.org/files/spoon2/sV_20170425_1hbnsSLrhD4.mp4,63832
Russian warplanes bomb Kufthakarim hospital and make it out of order,IDLIB,Kafar Takharim,NA,NA,HO_88b81,Specifically protected persons and objects,2017-04-25,13.0,23.0,SMO Syria,https://www.youtube.com/watch?v=sXEA4C1SHUI,NA,NA,6d1788b810a73697383419ae3f33baba6cf7acafa6ce7c0ab3ce5c1e,https://media.syrianarchive.org/files/spoon2/sV_20170425_sXEA4C1SHUI.mp4,63805
Russian warplanes destroy Kuftakharim hospital and make it out of service,IDLIB,Kafar Takharim,NA,NA,HO_942cc,Specifically protected persons and objects,2017-04-25,12.0,7.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=c6VArR5ZHZI,NA,NA,942cc3fb89d4d1dbe8df9ae9612cf7ffdeedf272b444755fa4e8ce6f,https://media.syrianarchive.org/files/spoon2/sV_20170425_c6VArR5ZHZI.mp4,63883
Russian warplanes destroy Kuftakharim hospital and make it out of service,IDLIB,Kafar Takharim,NA,NA,HO_7e831,Specifically protected persons and objects,2017-04-25,11.0,44.0,Qasioun News Agency,https://www.youtube.com/watch?v=OrYkZ8K_kbU,NA,NA,7e8312ead45179a4f6bd588010d85801967083c3c72676eb3b42287e,https://media.syrianarchive.org/files/spoon2/sV_20170425_OrYkZ8K_kbU.mp4,63839
Destruction in the Kuftkharim hospital as a result of aerial bombardment,IDLIB,Kafar Takharim,NA,NA,HO_444ef,Specifically protected persons and objects,2017-04-25,10.0,34.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=s2I8TKGF3FI,NA,NA,444ef4101f5795f6c5dd2d0b66d1c795299e89d1d88fc3a672a34a47,https://media.syrianarchive.org/files/spoon2/sV_20170425_s2I8TKGF3FI.mp4,63807
Destruction of Wassim Huseinu (Kafartakharim) Hospital as a result of an alleged Russian attacks,IDLIB,Kafar Takharim,NA,NA,HO_3e229,Specifically protected persons and objects,2017-04-25,8.0,6.0,yahya alsbeeh,https://www.youtube.com/watch?v=zdJaQmeDdi4,NA,NA,3e2291711a1dffa4b70306627aa968c5c063d58c50cf0495df6fe379,https://media.syrianarchive.org/files/spoon2/sV_20170427_zdJaQmeDdi4.mp4,64096
Destruction of Wassim Huseinu (Kafartakhareem) Hospital as a result of an alleged Russian airstrikes,IDLIB,Kafar Takharim,NA,NA,HO_62397,Specifically protected persons and objects,2017-04-25,8.0,4.0,Syria Civil Defence Videos,https://www.youtube.com/watch?v=zC334F3Y9Js,NA,NA,6239725ddaa85848d1c1966e935565df2d1e4531f990d2039cd84614,https://media.syrianarchive.org/files/spoon2/sV_20170427_zC334F3Y9Js.mp4,64099
The destruction of Wassim Huseinu (Kafartakharim) Hospital as a result of an alleged Russian airstrikes,IDLIB,Kafar Takharim,NA,NA,HO_2b80d,Specifically protected persons and objects,2017-04-25,7.0,57.0,مراسل صحفي اا,https://www.youtube.com/watch?v=94P6qhN9Mow,NA,NA,2b80da976575296f6323c06262e9457edfae2e30aac2c6eb4c7652ec,https://media.syrianarchive.org/files/spoon2/sV_20170427_94P6qhN9Mow.mp4,64102
"Abidin Hospital is out of service, and the Civil Defense team is making efforts to recover the victims",IDLIB,Abadeen,NA,NA,HO_f58f5,Specifically protected persons and objects,2017-04-24,10.0,37.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=Os8GoeOklv8,NA,NA,f58f5340b20a51bb50463122cf211f6fb53d504365f15abc9cb9fec6,https://media.syrianarchive.org/files/spoon2/sV_20170424_Os8GoeOklv8.mp4,63605
Survivors testimonies after the chemical massacre in Khan-Shikhon.,IDLIB,Khan Shaykhun,NA,NA,CW_f87c2,Use of illegal weapons,2017-04-23,18.0,36.0,Orient News,https://www.youtube.com/watch?v=PM05jCrCYDI,Chemical Weapons,NA,f87c2bf675ecaf7eb20fbf2c5bb5dab6d9c88fa9d9cf1e8c7703588f,https://media.syrianarchive.org/files/spoon2/sV_20170423_PM05jCrCYDI.mp4,63540
The Civil Defense members are working to recover people trapped under the rubble of abdin hospital,IDLIB,Abadeen,NA,NA,HO_8e593,Specifically protected persons and objects,2017-04-23,18.0,8.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=7jpdNP7HVaY,NA,NA,8e593158fcbbc0603a25b66f192a5125b359b64906c32cb73225cf40,https://media.syrianarchive.org/files/spoon2/sV_20170423_7jpdNP7HVaY.mp4,63493
The Civil Defense members are working to recover people trapped under the rubble of al abdin hospital,IDLIB,Abadeen,NA,NA,HO_58f4e,Specifically protected persons and objects,2017-04-23,17.0,25.0,Qasioun News Agency,https://www.youtube.com/watch?v=JPcakuncvTk,NA,NA,58f4e5d189b5eae4ad3632ec74b48ecbbc23e79934851cccca6e2b97,https://media.syrianarchive.org/files/spoon2/sV_20170423_JPcakuncvTk.mp4,63522
Survivors testimonies after the chemical massacre in Khan-Shikhon.,IDLIB,Khan Shaykhun,NA,NA,CW_a4317,Use of illegal weapons,2017-04-23,13.0,50.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=zZf_ihTO_gE,Chemical Weapons,NA,a43179194e5f2c244e2a6f9cda6504b7f04547f3214c146c65c27ea1,https://media.syrianarchive.org/files/spoon2/sV_20170423_zZf_ihTO_gE.mp4,63494
Targeting Abdin's hospital from Russian warplanes - Idlib countryside,IDLIB,Abadeen,NA,NA,HO_91592,Specifically protected persons and objects,2017-04-23,13.0,32.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=_EfbruA2Njo,NA,NA,91592f7e01cbb56cadd2a14dcd8ade6fb62951bec45f3a6146c3576e,https://media.syrianarchive.org/files/spoon2/sV_20170423__EfbruA2Njo.mp4,63566
Abdin hospital's management: many casualties and the hospital is out of order as a result of airstrikes,IDLIB,Abadeen,NA,NA,HO_b48677,Specifically protected persons and objects,2017-04-22,22.0,34.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=kxMCDFdZmRQ,Cluster Munition,NA,b48677cc2ea0676041f2dcd61e801a357b7b898d4e0fcff45c35382c,https://media.syrianarchive.org/files/spoon2/sV_20170422_kxMCDFdZmRQ.mp4,63382
The remnants of a cluster missile targeted the vicinity of Abdin town in the southern Idlib countryside,IDLIB,Abadeen,NA,NA,CL_64a24,Use of illegal weapons,2017-04-22,16.0,48.0,all4 syria,https://www.youtube.com/watch?v=YMCjiR6ctDk,Cluster Munition,NA,64a246b188571dbce4cf86d92a83b8c3e1fc0c89e7a8803038811755,https://media.syrianarchive.org/files/spoon2/sV_20170422_YMCjiR6ctDk.mp4,63325
Targeting Abedeen hospital with cluster munitions,IDLIB,Abadeen,NA,NA,HO_33d8f,Specifically protected persons and objects,2017-04-22,16.0,38.0,all4 syria,https://www.youtube.com/watch?v=QyAiYhzDflk,Cluster Munition,NA,33d8f056185a1c4c805d8d2b241b88b5b933cb0a116ed33ac1eef86f,https://media.syrianarchive.org/files/spoon2/sV_20170422_QyAiYhzDflk.mp4,63326
Civil Defense dismantles an unexploded cluster missile in Urum al-Kubra,ALEPPO,Urum al-Kubra,NA,NA,CL_f78f5,Use of illegal weapons,2017-04-22,10.0,22.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=0w86Sz95LN8,Cluster Munition,NA,f78f5f445acd8db9453a98cb59a29b5d1e08e55140602b3c04dde32e,https://media.syrianarchive.org/files/spoon2/sV_20170422_0w86Sz95LN8.mp4,63329
Destruction in the central hospital as a result of alleged Russian airstrikes,IDLIB,Abadeen,NA,NA,HO_da54f,Specifically protected persons and objects,2017-04-22,7.0,41.0,حسين الأدلبي,https://www.youtube.com/watch?v=j1W_LUK5BL0,NA,NA,da54f13dfc0a68a8aaf39be27b690e665ef5e6b7d0d80a9fb8ec6041,https://media.syrianarchive.org/files/spoon2/sV_20170427_j1W_LUK5BL0.mp4,64103
Targeting the Civil Defense team while they were working to rescue injured people,DAMASCUS,Duma,NA,NA,CD_78e1b2,Specifically protected persons and objects,2017-04-21,12.0,48.0,الدفاع المدني السوري في الغوطة الشرقية,https://www.youtube.com/watch?v=t7kW2grDOro,NA,NA,78e1b2f065d5c9a3150f39258bfc3c5602a52c92deade6c9125ff40f,https://media.syrianarchive.org/files/spoon2/sV_20170421_t7kW2grDOro.mp4,63182
Airstrikes against Garaz area in the eastern countryside of Daraa with cluster bombs,DARAA,NA,NA,NA,CL_8c993,Use of illegal weapons,2017-04-21,10.0,42.0,SMO Syria,https://www.youtube.com/watch?v=cEB4VHWx8Nw,Cluster Munition,NA,8c9938809f07c28fe27db9960b0634d3e0d7f4d25638e8ae8eb8246e,https://media.syrianarchive.org/files/spoon2/sV_20170421_cEB4VHWx8Nw.mp4,63245
Air strikes with incendiary bombs on Khan Sheikhan in Idlib countryside,IDLIB,Khan Shaykhun,NA,NA,IN_71537,Use of illegal weapons,2017-04-21,7.0,31.0,Qasioun News Agency,https://www.youtube.com/watch?v=lL1j5onEks0,Incendiary Weapons,NA,7153735272332de7c1e641fb3079e9bdea59827e58821c1aaa931566,https://media.syrianarchive.org/files/spoon2/sV_20170421_lL1j5onEks0.mp4,63290
Orient agency documents new testimonies by chemical massacre survivors.,IDLIB,Khan Shaykhun,NA,NA,CW_0cc8f,Use of illegal weapons,2017-04-20,12.0,34.0,Orient News,https://www.youtube.com/watch?v=2YSSTQr80ys,Chemical Weapons,NA,0cc8f7206d5b0b413463c26ed260b85dcab2052900ba3135b66c9267,https://media.syrianarchive.org/files/spoon2/sV_20170420_2YSSTQr80ys.mp4,63147
The warplanes bombard in Kfar Zeita town with cluster bombs,HAMA,KafrZita,NA,NA,CL_503d3,Use of illegal weapons,2017-04-19,11.0,50.0,محمود الحموي,https://www.youtube.com/watch?v=vse9zC3hXA4,Cluster Munition,NA,503d3ec9d282878b04730441e57fbb0f26f189cf62188cec647ddc18,https://media.syrianarchive.org/files/spoon2/sV_20170419_vse9zC3hXA4.mp4,62914
Airstrikes that targeted Taybat al-Imam with cluster bombs,HAMA,Tayyibat al-Imam,NA,NA,CL_d16e7,Use of illegal weapons,2017-04-19,11.0,49.0,محمود الحموي,https://www.youtube.com/watch?v=tioBoaRCN9o,Cluster Munition,NA,d16e79adcbd8626297a6db677de37481156def611632dfe26c9e899c,https://media.syrianarchive.org/files/spoon2/sV_20170419_tioBoaRCN9o.mp4,62930
Airstrikes during the night targeting Anadan city with rockets and cluster bombs,ALEPPO,Anadan,NA,NA,CL_1bd57,Use of illegal weapons,2017-04-18,21.0,58.0,وكالة ثقة,https://www.youtube.com/watch?v=omCPjEbYQbM,Cluster Munition,NA,1bd57f63493580fdc616e8cef8618fab3e3f6d9a7c5aae317354f270,https://media.syrianarchive.org/files/spoon2/sV_20170418_omCPjEbYQbM.mp4,62748
The destruction in a school after targeting it with airstrikes - Darat Izza,ALEPPO,Darat Izzah,NA,NA,SC_18e2d,Specifically protected persons and objects,2017-04-18,15.0,33.0,وكالة ثقة,https://www.youtube.com/watch?v=c-FR_wXcLFU,NA,NA,18e2ddfb46466e3c09684ed1316d5f913c29357cf270bfecb45becd4,https://media.syrianarchive.org/files/spoon2/sV_20170418_c-FR_wXcLFU.mp4,62747
Alleged Russian airstrike with cluster bombs in Ma'ra Hormah town in Idlib,IDLIB,Marat Hermeh,NA,NA,CL_4db6,Use of illegal weapons,2017-04-18,15.0,18.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=QOngutmi9CY,Cluster Munition,NA,4db6205c05ccd7be4d3169fe3c3e4b4c80fdcdb1cab0f8ca5e343f02,https://media.syrianarchive.org/files/spoon2/sV_20170418_QOngutmi9CY.mp4,62795
An ambulance of the Civil Defense get targeted by an airstrike,IDLIB,Marat Hermeh,NA,NA,CD_03d5b,Specifically protected persons and objects,2017-04-18,8.0,18.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=LF0O-17mz00,NA,NA,03d5b3061b0bb3563a97c6cf74f00e2ad75c2cd2e9f3682b0ec8643f,https://media.syrianarchive.org/files/spoon2/sV_20170418_LF0O-17mz00.mp4,62739
