Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
Abdel Latif al-Dhahik (member of Civil Defence) who was killed during Russian airstrikes on the city 30/9/2015,HOMS,Talbisah,34.833601,36.735749,RU_2514,Alleged civilian casualties from Russian attacks,2015-09-30,12.0,12.0,talbisa h,https://www.youtube.com/watch?v=1bHO1ieMYwU,NA,NA,RU_2514,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af%20%d8%b9%d8%a8%d8%af%d8%a7%d9%84%d9%84%d8%b7%d9%8a%d9%81%20%d8%a7%d9%84%d8%b6%d8%ad%d9%8a%d9%83%20(%d8%b9%d9%86%d8%b5%d8%b1%20%d9%85%d9%86%20%20%d8%a7%d9%84%d8%af%d9%81%d8%a7%d8%b9%20%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a%20)%20%d8%a7%d8%b3%d8%aa%d8%b4%d9%87%d8%af%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%2030%209%202015-1bHO1ieMYwU.mkv,2187
Dead child Yaman Mohammed Jemaa 30/9/2015,HOMS,Talbisah,34.833601,36.735749,RU_2515,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,34.0,talbisa h,https://www.youtube.com/watch?v=occSM1QxuFA,NA,NA,RU_2515,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af%20%d8%a7%d9%84%d8%b7%d9%81%d9%84%20%d9%8a%d8%a7%d9%85%d9%86%20%d9%85%d8%ad%d9%85%d8%af%20%d8%ac%d9%85%d8%b9%d8%a9%2030%209%202015-occSM1QxuFA.mkv,2188
Step Agency || smoke rising as a result of bombing by Russian warplanes on northern countryside of Homs 30/9/2015.,HOMS,Rastan,34.91639,36.733818,RU_2516,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,34.0,Step News Agency,https://www.youtube.com/watch?v=pT67sHMjus8,NA,NA,RU_2516,https://media.syrianarchive.org/files/russian_attacks/%d8%ae%d8%b7%d9%88%d8%a9%20_%20%e2%80%ab%d8%a7%d9%84%d8%af%d8%ae%d8%a7%d9%86%20%d8%a7%d9%84%d9%85%d8%aa%d8%b5%d8%a7%d8%b9%d8%af%20%d8%ac%d8%b1%d8%a7%d8%a1%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%ac%d9%88%d9%8a%d8%a9%20%d8%a8%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d9%88%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%b1%d9%8a%d9%81%20'%d8%ad%d9%85%d8%b5'%20%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a%2030-9-2015-pT67sHMjus8.mkv,2189
Rastan city: air strikes on residential neighborhoods by Russian aircraft and the massacre of civilians 30/9/2015.,HOMS,Rastan,34.91639,36.733818,RU_2517,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,27.0,motasem homs,https://www.youtube.com/watch?v=q62DtNgm6Fw,NA,NA,RU_2517,https://media.syrianarchive.org/files/russian_attacks/%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%a7%d9%84%d8%b1%d8%b3%d8%aa%d9%86%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d9%85%d9%86%20%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d8%a7%d8%ad%d9%8a%d8%a7%d8%a1%20%d8%a7%d9%84%d8%b3%d9%83%d9%86%d9%8a%d8%a9%20%20%d9%88%d9%85%d8%ac%d8%a7%d8%b2%d8%b1%20%d8%a8%d8%ad%d9%82%20%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a%d9%8630_9_2015-q62DtNgm6Fw.mkv,2190
Talbiseh: Abdo Mahdi Khoshfe who died as a result of Russian air strikes on the city 30/9/2015.,HOMS,Talbisah,34.833601,36.735749,RU_2518,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,27.0,talbisa h,https://www.youtube.com/watch?v=ERQRzhW6Lso,NA,NA,RU_2518,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af%20%d8%b9%d8%a8%d8%af%d9%88%20%d9%85%d9%87%d8%af%d9%8a%20%d8%ae%d8%b4%d9%81%d8%a9%20%d8%a7%d8%b3%d8%aa%d8%b4%d9%87%d8%af%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%2030%209%202015-ERQRzhW6Lso.mp4,2191
"Homs, al-Zaafaraneh town: a second air strike by Russian aircraft and the massacre of civilians 30/9/2015.",HOMS,Al Zafaraneh,34.8925,36.77916667,RU_2519,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,26.0,motasem homs,https://www.youtube.com/watch?v=xWqD_k0TYaQ,NA,NA,RU_2519,https://media.syrianarchive.org/files/russian_attacks/%d8%ad%d9%85%d8%b5%20%d8%a8%d9%84%d8%af%20%d8%a9%20%d8%a7%d9%84%d8%b2%d8%b9%d9%81%d8%b1%d8%a7%d9%86%d8%a9%20%d8%ba%d8%a7%d8%b1%d8%a9%20%d8%ab%d8%a7%d9%86%d9%8a%d8%a9%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%88%d9%85%d8%ac%d8%a7%d8%b2%d8%b1%20%d8%a8%d8%ad%d9%82%20%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a%d9%86%2030_9_2015-xWqD_k0TYaQ.mp4,2192
Talbiseh: Body of Bilal Jumaa al-Lattouf 30/9/2015,HOMS,Talbisah,34.833601,36.735749,RU_2520,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,24.0,talbisa h,https://www.youtube.com/watch?v=We8h601yR-Y,NA,NA,RU_2520,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af%20%d8%a8%d9%84%d8%a7%d9%84%20%d8%ac%d9%85%d8%b9%d8%a9%20%d8%a7%d9%84%d9%84%d8%b7%d9%88%d9%81%2030%209%202015-We8h601yR-Y.mp4,2193
Talbiseh: Ahmad al-Dhahik who died as a result of Russian air strikes on the city 30/9/2015.,HOMS,Talbisah,34.833601,36.735749,RU_2521,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,19.0,talbisa h,https://www.youtube.com/watch?v=1oXPLkgXLBE,NA,NA,RU_2521,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af%20%d8%a7%d8%ad%d9%85%d8%af%20%d8%a7%d9%84%d8%b6%d8%ad%d9%8a%d9%83%20%d8%a7%d8%b3%d8%aa%d8%b4%d9%87%d8%af%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%2030%209%202015-1oXPLkgXLBE.mp4,2194
Talbiseh city: an air strike on a residential neighbourhood by Russian aircraft and the massacre of civilians 30/9/2015.,HOMS,Talbisah,34.833601,36.735749,RU_2522,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,15.0,motasem homs,https://www.youtube.com/watch?v=Vhix5fJEy_E,NA,NA,RU_2522,https://media.syrianarchive.org/files/russian_attacks/%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%ba%d8%a7%d8%b1%d8%a9%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%20%d9%8a%d8%b3%d8%aa%d9%87%d8%af%d9%81%20%20%d8%a7%d9%84%d8%a7%d8%ad%d9%8a%d8%a7%d8%a1%20%d8%a7%d9%84%d8%b3%d9%83%d9%86%d9%8a%d8%a9%20%d9%88%d9%85%d8%ac%d8%a7%d8%b2%d8%b1%20%d8%a8%d8%ad%d9%82%20%d8%a7%d9%84%d9%85%d8%af%d9%86%d9%8a%d9%86-Vhix5fJEy_E.mkv,2195
Talbiseh: Abdulghani al-Deekh who died as a result of Russian air strikes on the city.,HOMS,Talbisah,34.833601,36.735749,RU_2523,Alleged civilian casualties from Russian attacks,2015-09-30,11.0,14.0,talbisa h,https://www.youtube.com/watch?v=pLmoUbgp5uk,NA,NA,RU_2523,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%a7%d9%84%d8%b4%d9%87%d9%8a%d8%af%20%d8%b9%d8%a8%d8%af%d8%a7%d9%84%d8%ba%d9%86%d9%8a%20%d8%a7%d9%84%d8%b6%d9%8a%d8%ae%20%d8%a7%d8%b3%d8%aa%d8%b4%d9%87%d8%af%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%2030%209%202015-pLmoUbgp5uk.mkv,2196
